rec_id,season,town,zone_use,building_type,trade_date,total_price,land_area_ping,building_area_ping,area_ping,unit_price_ping,address,is_land_only,is_special
903956508299740950,115S2,溪湖鎮,鄉村區,其他,1150126,3580000.0,112.49,0.0,112.49,31825.0,西安段960地號,True,False
9108121960169516123,115S2,埤頭鄉,特定農業區,其他,1150114,3200000.0,542.53,0.0,542.53,5898.0,稻香段374-3地號,True,False
1477843083719774827,115S2,溪湖鎮,農,透天厝,1150121,11200000.0,29.59,44.03,44.03,254372.0,彰化縣溪湖鎮湳底路８巷１７弄１６號,False,False
8246374387048394583,115S2,埔心鄉,特定農業區,透天厝,1150129,10450000.0,38.06,44.73,44.73,233624.0,彰化縣埔心鄉仁華路３９巷２５之２２號,False,False
215814164985643421,115S2,埔心鄉,住,透天厝,1150124,8300000.0,32.97,35.98,35.98,230684.0,彰化縣埔心鄉中正路一段３８１巷１３號,False,False
8655848357053375620,115S2,埔鹽鄉,農,其他,1150102,6600000.0,470.08,0.0,470.08,14040.0,永昌段627地號,True,False
1568997567056611142,115S2,埔心鄉,住,華廈(10層含以下有電梯),1150121,10480000.0,9.24,26.96,26.96,388724.0,彰化縣埔心鄉明泉街１７５號四樓之３,False,False
4422307037277248999,115S2,溪湖鎮,住,透天厝,1150102,10350000.0,48.1,75.81,75.81,136526.0,彰化縣溪湖鎮弘農六街８３號,False,False
2475192413312443773,115S2,秀水鄉,住,其他,1150127,179200.0,2.25,0.0,2.25,79644.0,秀安段894地號,True,False
2834521467603240115,115S2,埔心鄉,特定農業區,透天厝,1150112,12000000.0,44.9,44.73,44.73,268276.0,彰化縣埔心鄉仁華路３９巷２５之５號,False,False
9042230450300787723,115S2,秀水鄉,特定農業區,其他,1150101,10000000.0,441.65,0.0,441.65,22642.0,金興段1670地號,True,False
5764251503991211104,115S2,秀水鄉,鄉村區,其他,1150114,9850000.0,136.68,0.0,136.68,72066.0,秀安段1211地號,True,False
2974721351324075702,115S2,秀水鄉,工,透天厝,1150113,58000000.0,211.76,60.27,60.27,962336.0,彰化縣秀水鄉彰水路二段１０２巷５８弄７號,False,False
6112491296888288162,115S2,秀水鄉,鄉村區,透天厝,1150131,11200000.0,19.75,48.9,48.9,229039.0,彰化縣秀水鄉長安巷７６之２號,False,False
4196757366765714274,115S2,埤頭鄉,鄉村區,透天厝,1150131,9680000.0,45.05,48.32,48.32,200331.0,彰化縣埤頭鄉福德路１８６巷１６號,False,False
5201972538720897629,115S2,溪湖鎮,住,華廈(10層含以下有電梯),1150130,7800000.0,10.15,25.47,25.47,306243.0,彰化縣溪湖鎮富貴五街２８號二樓之２,False,False
